hindi,english
मौजूदा बफर,Insert into buffer
to pop up a dialog,Replace selection
पॉपअप संवाद,Popup dialog
आउटपुट छोड़ें,Discard output
कुछ नहीं,
मौजूदा बफर,Current buffer
मौजूदा चयन,Current selection
स्ट्रिंग,String
Copyright (c) Naba Kumar,Copyright (c) Naba Kumar
लोड किया सत्र... ,Loaded Session…
फ़ाइल (_ F) ,_ File
बाहर (_ Q) ,_ Quit
वरीयताएं (_ P) ,_ Preferences
पूर्ण स्क्रीन (_ F) ,_ Full Screen
पूरा स्क्रीन मोड टॉगल करें,Toggle fullscreen mode
औजारपट्टी (_ T) ,_ Toolbar
मदद (_ H) ,_ Help
Anjuta advanced tutorial,Anjuta advanced tutorial
बार बार पूछे जाने वाले प्रश्न (_ F) ,_ Frequently Asked Questions
अंजुटा बार बार पूछे जाने वाले प्रश्न,Anjuta frequently asked questions
Anjuta घर पेज (_ H) ,Anjuta _ Home Page
के बारे में (_ A) ,_ About
Anjuta परिचय,About Anjuta
संपादन,Edit
संस्थापित प्लगिन,Installed plugins
शॉर्टकट्स,Shortcuts
WIDTHxHEIGHT + XOFF + YOFF,WIDTHxHEIGHT + XOFF + YOFF
- Integrated Development Environment,- Integrated Development Environment
Anjuta,Anjuta
प्रतीक,Icons
आइकन फाइलः,Icons only
पाठ,Text only
मूलभूत प्रोजेक्ट निर्देशिकाः,Default project directory:
डेवलेपर नामः,Developer name:
डेवलेपर ईमेल पताः,Developer email address:
परियोजना तयशुदा,Project Defaults
सबवर्सन,Session
प्रकटन,Appearance
स्मार्ट हाशिया सक्रिय करें,Enable smart indentation
हाशिया पैरामीटर,Indentation parameters
स्वचालित हाशिया,Indent:
स्मार्ट हाशिया,Parenthesis indentation
स्मार्ट हाशिया,Smart Indentation
कोड समाप्ति सक्रिय करें,Enable code completion
स्वतःपूर्ण (C/C + +/Java केवल) ,Autocompletion (C / C + + / Java only)
कालटिप्स दिखाएँ,Show calltips
काल्स,Calltips
स्वतःपूर्ण,Auto - complete
स्वचालित हाशिया,Auto - Indent
Swap. h/. c,Swap. h /. c
C + +/Java Assistance,C + + / Java Assistance
C/C + +/Java/Vala,C / C + + / Java / Vala
GtkSourceView Editor,GtkSourceView Editor
Gdb,Gdb
मैनेजर प्लगिन डिबग करें,GNU Debugger Plugin
Git संस्करण नियंत्रण,Git version control
API मद,API Help
अंजुटा के लिए डेव वहेल्प प्लगिन,Devhelp Plugin for Anjuta.
फाइल सहायक,File Assistant
Anjuta फाइल सहायक प्लगिन,Anjuta File Assistant Plugin
ग्लेड अतंरफलक डिजायनर,Glade interface designer
Anjuta के लिए ग्लेड प्लगिन,Glade Plugin for Anjuta.
ग्लेड फाइल,Glade File
कार्य प्रबंधक,Task Manager
Anjut के लिए टूडू प्लगिन,Todo Plugin for Anjuta.
मैक्रो प्लगिन,Macro Plugin
पैच प्लगिन,Patch Plugin
आटोमेक बिल्ड,Automake Build
अंजुता के लिए टर्मिनल प्लगिन,Terminal Plugin for Anjuta.
CVS प्लगिन,CVS Plugin
संस्करण नियंत्रण सिस्टम प्लगिन,A version control system plugin
प्रोजेक्ट इंपोर्ट सहायक,Project Import Assistant
GtkSourceView Editor,GtkSourceView editor
C + + और जावा सपोर्ट प्लगिन,C + + and Java support Plugin
प्रोजेक्ट सहायक,Project Assistant
ढूंढा जा रहा है,Searching
खोज रहा है घटक के लिए,Component for searching
Anjuta वर्ग जनक प्लगिन,Anjuta Class Generator Plugin
C + +/GObject Class,C + + / GObject Class
परियोजना प्रबंधक,Project Manager
Anjuta के लिए नमूना प्लगिन. ,Symbol Database Plugin for Anjuta.
संदेश प्रबंधक,Message Manager
मैनेजर प्लगिन डिबग करें,Debug Manager plugin.
प्रोग्राम चलाएं,Run Program
भाषा प्रबंधक,Language Manager
मेकफाइल आधारित परियोजना,Makefile backend
मेकफाइल आधारित परियोजना,Makefile backend for project manager
त्रुटि में शामिल है,Error:% s
त्रुटि में शामिल है,Error: cant bind port
अंजुता प्लगिन,Anjuta JS Debugger Plugin
C + + और जावा सपोर्ट प्लगिन,JS Support Plugin
C + + और जावा सपोर्ट प्लगिन,JavaScript Support Plugin
विकल्प,JS Find dirs
कोड समाप्ति सक्रिय करें,Min character for completion
अंजूटा IDE,Anjuta IDE
यूनिकोड,Unicode
पश्चिमी,Western
मध्य यूरोपीय,Central European
दक्षिण यूरोपीय,South European
बाल्टिक,Baltic
साइरिलिक,Cyrillic
अरबी,Arabic
यूनानी,Greek
हिब्रू दृश्य,Hebrew Visual
हिब्रू,Hebrew
तुर्की,Turkish
नोर्डिक,Nordic
सेल्टिक,Celtic
रोमानियाई,Romanian
आर्मेनियाई,Armenian
चीनी पारम्परिक,Chinese Traditional
साइरिलिक/रूसी,Cyrillic / Russian
जापानी,Japanese
कोरियाई,Korean
चीनी (सरल) ,Chinese Simplified
ज्यॉर्जियाई,Georgian
साइरिलिक/यूक्रेनी,Cyrillic / Ukrainian
विएतनामी,Vietnamese
थाई,Thai
अज्ञात,Unknown
Anjuta शेल,Anjuta Shell
लोड,Load
मौजूद प्लगिन,Available Plugins
वरीय प्लगिन,Preferred plugins
प्लगिन चुनें,Select a plugin
यह चयन याद रखें,Remember this selection
प्रोफ़ाइल,Profiles
मौजूद प्लगिन,Available plugins
सक्रिय प्लगिन,Activated plugins
अभी सक्रिय प्लगिन,Currently activated plugins
Anjuta स्थिति,Anjuta Status
Icon:% s,Anjuta status to use in loading and unloading of plugins
प्लगइन प्रबंधक,Plugin Manager
प्रोफ़ाइल नाम,Profile Name
प्रोफाइल प्लगिन,Profile Plugins
तुल्यकालन URI,Synchronization file
रिसेट करें (_ R) ,_ Reset
श्रेणी,Category
सामान्य,General
Anjuta वरीयता,Anjuta Preferences
सहेजें,Save
वस्तु,Item
बदलाव त्यागें (_ D) ,_ Discard changes
क्रिया,Action
दृष्टिगोचर,Visible
संवेदनशील,Sensitive
शॉर्टकट,Shortcut
सिस्टमः,System:
